year	step	length	number
2010	1	80	245
2010	1	84	220
2010	1	88	172
2010	1	92	128
2010	1	96	102
2010	2	100	77
2010	2	104	61
2010	2	108	41
2010	2	112	30
2010	2	116	41
2010	2	120	26
2010	2	124	12
2010	2	128	13
2010	2	132	10
2010	2	136	2
2010	2	140	2
2010	2	148	1
2010	2	152	2
2010	2	156	1
2010	2	40	3
2010	2	44	11
2010	2	48	29
2010	2	52	61
2010	2	56	112
2010	2	60	156
2010	2	64	161
2010	2	68	182
2010	2	72	165
2010	2	76	194
2010	2	80	185
2010	2	84	183
2010	2	88	136
2010	2	92	138
2010	2	96	119
2010	3	100	88
2010	3	104	69
2010	3	108	66
2010	3	112	44
2010	3	116	35
2010	3	120	32
2010	3	124	26
2010	3	128	15
2010	3	132	8
2010	3	136	3
2010	3	140	2
2010	3	144	6
2010	3	156	2
2010	3	48	3
2010	3	52	11
2010	3	56	24
2010	3	60	61
2010	3	64	97
2010	3	68	109
2010	3	72	139
2010	3	76	184
2010	3	80	146
2010	3	84	127
2010	3	88	116
2010	3	92	112
2010	3	96	85
2010	4	100	44
2010	4	104	44
2010	4	108	30
2010	4	112	16
2010	4	116	21
2010	4	120	23
2010	4	124	11
2010	4	128	7
2010	4	132	4
2010	4	136	3
2010	4	140	4
2010	4	144	2
2010	4	148	1
2010	4	156	1
2010	4	32	1
2010	4	36	2
2010	4	40	10
2010	4	44	8
2010	4	48	4
2010	4	52	18
2010	4	56	25
2010	4	60	41
2010	4	64	51
2010	4	68	79
2010	4	72	89
2010	4	76	110
2010	4	80	87
2010	4	84	91
2010	4	88	66
2010	4	92	80
2010	4	96	66
2011	1	100	92
2011	1	104	55
2011	1	108	47
2011	1	112	30
2011	1	116	27
2011	1	120	17
2011	1	124	17
2011	1	128	8
2011	1	132	9
2011	1	136	4
2011	1	140	3
2011	1	144	2
2011	1	148	1
2011	1	152	2
2011	1	156	1
2011	1	40	4
2011	1	44	19
2011	1	48	44
2011	1	52	30
2011	1	56	33
2011	1	60	46
2011	1	64	104
2011	1	68	201
2011	1	72	297
2011	1	76	378
2011	1	80	349
2011	1	84	296
2011	1	88	239
2011	1	92	189
2011	1	96	120
2011	2	100	70
2011	2	104	67
2011	2	108	50
2011	2	112	40
2011	2	116	24
2011	2	120	26
2011	2	124	13
2011	2	128	10
2011	2	132	12
2011	2	136	3
2011	2	140	3
2011	2	144	1
2011	2	148	1
2011	2	152	2
2011	2	44	4
2011	2	48	13
2011	2	52	26
2011	2	56	28
2011	2	60	68
